RTEClassifier
Training classifier...
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
            92          -0.01252        1.000
            93          -0.01239        1.000
            94          -0.01226        1.000
            95          -0.01213        1.000
            96          -0.01200        1.000
            97          -0.01188        1.000
            98          -0.01176        1.000
            99          -0.01164        1.000
         Final          -0.01153        1.000
######################
1 Step Classifier :  RTEClassifier
Accuracy :  0.5
######################
   0.905 neg_l(50th)==0.0 and label is 4
   0.905 neg_l(follow)==0.0 and label is 4
   0.905 neg_r(50th)==0.0 and label is 4
   0.905 neg_r(follow)==0.0 and label is 4
   0.905 has(50th)==1 and label is 4
   0.905 has(follow)==1 and label is 4
   0.633 neg_l(still)==0.0 and label is 0
   0.633 neg_l(pour)==0.0 and label is 0
   0.633 neg_l(outsid)==0.0 and label is 0
   0.633 neg_r(still)==0.0 and label is 0
   0.633 neg_r(pour)==0.0 and label is 0
   0.633 neg_r(outsid)==0.0 and label is 0
   0.633 has(still)==1 and label is 0
   0.633 has(pour)==1 and label is 0
   0.633 has(outsid)==1 and label is 0
   0.519 neg_l(proud)==0.0 and label is 4
   0.519 neg_l(best)==0.0 and label is 4
   0.519 neg_l(friend)==0.0 and label is 4
   0.519 neg_l(varsiti)==0.0 and label is 4
   0.519 neg_r(proud)==0.0 and label is 4
   0.519 neg_r(best)==0.0 and label is 4
   0.519 neg_r(friend)==0.0 and label is 4
   0.519 neg_r(varsiti)==0.0 and label is 4
   0.519 has(proud)==1 and label is 4
   0.519 has(best)==1 and label is 4
   0.519 has(friend)==1 and label is 4
   0.519 has(varsiti)==1 and label is 4
   0.381 neg_l(like)==0.0 and label is 0
   0.381 neg_l(go)==0.0 and label is 0
   0.381 neg_l(camp)==0.0 and label is 0
   0.381 neg_l(miss)==0.0 and label is 0
   0.381 neg_l(the)==0.0 and label is 0
   0.381 neg_l(outdoor)==0.0 and label is 0
   0.381 neg_r(like)==0.0 and label is 0
   0.381 neg_r(go)==0.0 and label is 0
   0.381 neg_r(camp)==0.0 and label is 0
   0.381 neg_r(miss)==0.0 and label is 0
   0.381 neg_r(the)==0.0 and label is 0
   0.381 neg_r(outdoor)==0.0 and label is 0
   0.381 has(like)==1 and label is 0
   0.381 has(go)==1 and label is 0
   0.381 has(camp)==1 and label is 0
   0.381 has(miss)==1 and label is 0
   0.381 has(outdoor)==1 and label is 0
   0.276 neg_l(__hndl)==0.0 and label is 4
   0.276 neg_r(__hndl)==0.0 and label is 4
   0.276 has(__hndl)==1 and label is 4
   0.273 neg_l(hate)==0.0 and label is 0
   0.273 neg_l(hear)==0.0 and label is 0
   0.273 neg_l(wierd)==0.0 and label is 0
   0.273 neg_l(unknown)==0.0 and label is 0
   0.273 neg_l(thing)==0.0 and label is 0
   0.273 neg_l(move)==0.0 and label is 0
   0.273 neg_l(around)==0.0 and label is 0
   0.273 neg_l(night)==0.0 and label is 0
   0.273 neg_r(hate)==0.0 and label is 0
   0.273 neg_r(hear)==0.0 and label is 0
   0.273 neg_r(wierd)==0.0 and label is 0
   0.273 neg_r(unknown)==0.0 and label is 0
   0.273 neg_r(thing)==0.0 and label is 0
   0.273 neg_r(move)==0.0 and label is 0
   0.273 neg_r(around)==0.0 and label is 0
   0.273 neg_r(night)==0.0 and label is 0
   0.273 has(hate)==1 and label is 0
   0.273 has(hear)==1 and label is 0
   0.273 has(wierd)==1 and label is 0
   0.273 has(unknown)==1 and label is 0
   0.273 has(thing)==1 and label is 0
   0.273 has(move)==1 and label is 0
   0.273 has(around)==1 and label is 0
   0.273 has(night)==1 and label is 0
   0.224 neg_l(ohh)==0.0 and label is 4
   0.224 neg_l(actual)==0.0 and label is 4
   0.224 neg_l(sick)==0.0 and label is 4
   0.224 neg_l(__punc_qu)==0.0 and label is 4
   0.224 neg_l(that)==0.0 and label is 4
   0.224 neg_l(sux)==0.0 and label is 4
   0.224 neg_l(hope)==0.0 and label is 4
   0.224 neg_l(better)==0.0 and label is 4
   0.224 neg_l(soon)==0.0 and label is 4
   0.224 neg_r(ohh)==0.0 and label is 4
   0.224 neg_r(actual)==0.0 and label is 4
   0.224 neg_r(sick)==0.0 and label is 4
   0.224 neg_r(__punc_qu)==0.0 and label is 4
   0.224 neg_r(that)==0.0 and label is 4
   0.224 neg_r(sux)==0.0 and label is 4
   0.224 neg_r(hope)==0.0 and label is 4
   0.224 neg_r(better)==0.0 and label is 4
   0.224 neg_r(soon)==0.0 and label is 4
   0.224 pos(better)==1 and label is 4
   0.224 has(ohh)==1 and label is 4
   0.224 has(actual)==1 and label is 4
   0.224 has(sick)==1 and label is 4
   0.224 has(__punc_qu)==1 and label is 4
   0.224 has(sux)==1 and label is 4
   0.224 has(hope)==1 and label is 4
   0.224 has(better)==1 and label is 4
   0.224 has(soon)==1 and label is 4
  -0.222 neg_l(__punc_ellp)==0.0 and label is 4
  -0.222 has(__punc_ellp)==1 and label is 4
None
######################
Accuracy : 0.5
Confusion Matrix 
  | 0 4 |
--+-----+
0 |<.>. |
4 | 1<1>|
--+-----+
(row = reference; col = test)

length of train tweets 8
length of test tweets 2
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
      ---------------------------------------
             1          -0.69315        0.750
             2          -0.42946        1.000
             3          -0.31325        1.000
             4          -0.24655        1.000
             5          -0.20322        1.000
             6          -0.17281        1.000
             7          -0.15029        1.000
             8          -0.13295        1.000
             9          -0.11918        1.000
            10          -0.10800        1.000
            11          -0.09872        1.000
            12          -0.09092        1.000
            13          -0.08425        1.000
            14          -0.07849        1.000
            15          -0.07347        1.000
            16          -0.06905        1.000
            17          -0.06513        1.000
            18          -0.06163        1.000
            19          -0.05849        1.000
            20          -0.05565        1.000
            21          -0.05307        1.000
            22          -0.05072        1.000
            23          -0.04857        1.000
            24          -0.04660        1.000
            25          -0.04478        1.000
            26          -0.04309        1.000
            27          -0.04153        1.000
            28          -0.04008        1.000
            29          -0.03872        1.000
            30          -0.03746        1.000
            31          -0.03627        1.000
            32          -0.03516        1.000
            33          -0.03411        1.000
            34          -0.03312        1.000
            35          -0.03219        1.000
            36          -0.03131        1.000
            37          -0.03048        1.000
            38          -0.02969        1.000
            39          -0.02894        1.000
            40          -0.02822        1.000
            41          -0.02754        1.000
            42          -0.02690        1.000
            43          -0.02628        1.000
            44          -0.02569        1.000
            45          -0.02512        1.000
            46          -0.02458        1.000
            47          -0.02407        1.000
            48          -0.02357        1.000
            49          -0.02310        1.000
            50          -0.02264        1.000
            51          -0.02220        1.000
            52          -0.02178        1.000
            53          -0.02137        1.000
            54          -0.02098        1.000
            55          -0.02060        1.000
            56          -0.02024        1.000
            57          -0.01988        1.000
            58          -0.01954        1.000
            59          -0.01922        1.000
            60          -0.01890        1.000
            61          -0.01859        1.000
            62          -0.01829        1.000
            63          -0.01801        1.000
            64          -0.01773        1.000
            65          -0.01746        1.000
            66          -0.01719        1.000
            67          -0.01694        1.000
            68          -0.01669        1.000
            69          -0.01645        1.000
            70          -0.01622        1.000
            71          -0.01599        1.000
            72          -0.01577        1.000
            73          -0.01556        1.000
            74          -0.01535        1.000
            75          -0.01514        1.000
            76          -0.01495        1.000
            77          -0.01475        1.000
            78          -0.01457        1.000
            79          -0.01438        1.000
            80          -0.01420        1.000
            81          -0.01403        1.000
            82          -0.01386        1.000
            83          -0.01369        1.000
            84          -0.01353        1.000
            85          -0.01337        1.000
            86          -0.01322        1.000
            87          -0.01307        1.000
            88          -0.01292        1.000
            89          -0.01278        1.000
            90          -0.01263        1.000
            91          -0.01250        1.000
            92          -0.01236        1.000
            93          -0.01223        1.000
            94          -0.01210        1.000
            95          -0.01197        1.000
            96          -0.01185        1.000
            97          -0.01173        1.000
            98          -0.01161        1.000
            99          -0.01149        1.000
         Final          -0.01138        1.000
######################
1 Step Classifier :  RTEClassifier
Accuracy :  0.0
######################
   0.905 neg_l(50th)==0.0 and label is 4
   0.905 neg_l(follow)==0.0 and label is 4
   0.905 neg_r(50th)==0.0 and label is 4
   0.905 neg_r(follow)==0.0 and label is 4
   0.905 has(50th)==1 and label is 4
   0.905 has(follow)==1 and label is 4
   0.464 neg_l(proud)==0.0 and label is 4
   0.464 neg_l(best)==0.0 and label is 4
   0.464 neg_l(friend)==0.0 and label is 4
   0.464 neg_l(varsiti)==0.0 and label is 4
   0.464 neg_r(proud)==0.0 and label is 4
   0.464 neg_r(best)==0.0 and label is 4
   0.464 neg_r(friend)==0.0 and label is 4
   0.464 neg_r(varsiti)==0.0 and label is 4
   0.464 has(proud)==1 and label is 4
   0.464 has(best)==1 and label is 4
   0.464 has(friend)==1 and label is 4
   0.464 has(varsiti)==1 and label is 4
   0.372 neg_l(like)==0.0 and label is 0
   0.372 neg_l(go)==0.0 and label is 0
   0.372 neg_l(camp)==0.0 and label is 0
   0.372 neg_l(miss)==0.0 and label is 0
   0.372 neg_l(the)==0.0 and label is 0
   0.372 neg_l(outdoor)==0.0 and label is 0
   0.372 neg_r(like)==0.0 and label is 0
   0.372 neg_r(go)==0.0 and label is 0
   0.372 neg_r(camp)==0.0 and label is 0
   0.372 neg_r(miss)==0.0 and label is 0
   0.372 neg_r(the)==0.0 and label is 0
   0.372 neg_r(outdoor)==0.0 and label is 0
   0.372 has(like)==1 and label is 0
   0.372 has(go)==1 and label is 0
   0.372 has(camp)==1 and label is 0
   0.372 has(miss)==1 and label is 0
   0.372 has(outdoor)==1 and label is 0
   0.326 neg_l(hate)==0.0 and label is 0
   0.326 neg_l(wierd)==0.0 and label is 0
   0.326 neg_l(unknown)==0.0 and label is 0
   0.326 neg_l(thing)==0.0 and label is 0
   0.326 neg_l(move)==0.0 and label is 0
   0.326 neg_l(around)==0.0 and label is 0
   0.326 neg_l(night)==0.0 and label is 0
   0.326 neg_r(hate)==0.0 and label is 0
   0.326 neg_r(wierd)==0.0 and label is 0
   0.326 neg_r(unknown)==0.0 and label is 0
   0.326 neg_r(thing)==0.0 and label is 0
   0.326 neg_r(move)==0.0 and label is 0
   0.326 neg_r(around)==0.0 and label is 0
   0.326 neg_r(night)==0.0 and label is 0
   0.326 has(hate)==1 and label is 0
   0.326 has(wierd)==1 and label is 0
   0.326 has(unknown)==1 and label is 0
   0.326 has(thing)==1 and label is 0
   0.326 has(move)==1 and label is 0
   0.326 has(around)==1 and label is 0
   0.326 has(night)==1 and label is 0
   0.321 neg_l(pina)==0.0 and label is 4
   0.321 neg_l(colada)==0.0 and label is 4
   0.321 neg_l(good)==0.0 and label is 4
   0.321 neg_l(for)==0.0 and label is 4
   0.321 neg_l(sore)==0.0 and label is 4
   0.321 neg_l(throat)==0.0 and label is 4
   0.321 neg_r(pina)==0.0 and label is 4
   0.321 neg_r(colada)==0.0 and label is 4
   0.321 neg_r(good)==0.0 and label is 4
   0.321 neg_r(for)==0.0 and label is 4
   0.321 neg_r(sore)==0.0 and label is 4
   0.321 neg_r(throat)==0.0 and label is 4
   0.321 pos(good)==1 and label is 4
   0.321 has(pina)==1 and label is 4
   0.321 has(colada)==1 and label is 4
   0.321 has(good)==1 and label is 4
   0.321 has(sore)==1 and label is 4
   0.321 has(throat)==1 and label is 4
   0.276 neg_l(__hndl)==0.0 and label is 4
   0.276 neg_r(__hndl)==0.0 and label is 4
   0.276 has(__hndl)==1 and label is 4
  -0.222 neg_l(__punc_excl)==0.0 and label is 0
  -0.222 neg_r(__punc_excl)==0.0 and label is 0
  -0.222 has(__punc_excl)==1 and label is 0
   0.194 neg_l(ohh)==0.0 and label is 4
   0.194 neg_l(actual)==0.0 and label is 4
   0.194 neg_l(sick)==0.0 and label is 4
   0.194 neg_l(__punc_qu)==0.0 and label is 4
   0.194 neg_l(that)==0.0 and label is 4
   0.194 neg_l(sux)==0.0 and label is 4
   0.194 neg_l(__punc_ellp)==0.0 and label is 4
   0.194 neg_l(hope)==0.0 and label is 4
   0.194 neg_l(better)==0.0 and label is 4
   0.194 neg_l(soon)==0.0 and label is 4
   0.194 neg_r(ohh)==0.0 and label is 4
   0.194 neg_r(actual)==0.0 and label is 4
   0.194 neg_r(sick)==0.0 and label is 4
   0.194 neg_r(__punc_qu)==0.0 and label is 4
   0.194 neg_r(that)==0.0 and label is 4
   0.194 neg_r(sux)==0.0 and label is 4
   0.194 neg_r(__punc_ellp)==0.0 and label is 4
   0.194 neg_r(hope)==0.0 and label is 4
   0.194 neg_r(better)==0.0 and label is 4
   0.194 neg_r(soon)==0.0 and label is 4
None
######################
Accuracy : 0.0
Confusion Matrix 
  | 0 4 |
--+-----+
0 |<.>2 |
4 | .<.>|
--+-----+
(row = reference; col = test)

Accuracies: [0.5, 0.0, 0.5, 0.5, 0.0]
Average Accuracy: 0.3
